system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,.geo
0000000000000000009b_0,464,449,4808,5016,5028,4647,4196,4122,4012,3721,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,2413,2376,5459,5585,6345,6675,6612,6479,6732,6524,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,2276,1799,409,837,1000,1025,1314,1408,1518,1577,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,1529,1586,7460,7008,7624,8342,8246,8096,7912,7951,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,1928,1820,545,785,937,1071,1058,1173,1186,1211,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0,2592,2332,792,1064,1218,1386,1595,1497,1354,1635,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0,5210,4598,1722,2790,3374,3605,3631,3719,3874,3836,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0,2498,2331,999,1464,1744,1794,1809,1836,1980,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,386,421,8123,7703,7832,8746,8153,7704,7520,7581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106_0,2560,2427,136,781,1474,1621,1707,1797,1824,1828,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0,2561,2503,749,1204,1522,1701,1747,1868,1970,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133_0,1514,1253,616,926,1130,1027,1075,1199,1498,1148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_0,3744,3288,1086,1460,1794,2038,2208,2312,2464,2560,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_0,2175,1878,906,966,1017,943,1061,1330,1268,1226,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177_0,3007,2469,797,1184,1382,1765,1931,2048,2108,2226,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a1_0,961,910,60,327,453,782,733,720,649,787,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001a6_0,2259,1936,415,476,653,794,894,987,1070,1094,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001aa_0,1791,1792,607,763,855,962,942,1018,998,1045,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c3_0,1100,1250,9360,9424,9400,9578,9114,8628,8840,8268,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ca_0,2567,2056,511,770,814,1027,1112,1177,1388,1337,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d0_0,2723,2492,517,736,903,1066,1121,1230,1352,1488,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001df_0,1502,867,165,290,477,700,907,1207,1810,1472,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000203_0,117,114,5044,5104,4876,5731,4361,4044,3196,3408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000207_0,3990,3814,1516,2010,2334,2511,2544,2629,2714,2687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000211_0,1240,862,1,153,334,584,778,908,1039,1145,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229_0,4362,3648,1085,1421,1712,1910,1891,2069,2204,2447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000235_0,2585,2430,1368,1720,1898,1930,1976,2014,2046,1935,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000236_0,1852,1661,1,152,565,783,863,1048,1152,1173,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023e_0,2084,2051,1077,1294,1481,1532,1535,1585,1606,1620,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025b_0,3913,3413,761,1598,2363,2437,2524,2549,2750,2566,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025c_0,2371,2020,849,820,913,1026,1008,999,1086,1127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000275_0,1609,1479,2660,3206,3682,7306,6789,5744,3448,5570,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027e_0,2043,1837,567,584,645,769,740,696,722,712,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000029f_0,4064,3564,909,1730,2304,2385,2413,2537,2662,2507,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a1_0,622,660,9440,9336,9320,9498,9244,8935,9088,8575,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8_0,2896,1937,491,634,752,991,1198,1387,1502,1678,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ba_0,2743,1651,402,634,771,1290,2050,2339,2614,2740,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3_0,1338,1260,1033,1121,1080,937,1014,937,1259,864,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ca_0,2036,1173,319,633,730,1298,2160,2485,2808,2991,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ce_0,168,153,9463,9278,8887,9066,8357,7730,7507,6902,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d6_0,981,1062,9328,9424,9664,9898,9597,9416,9680,9116,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d7_0,2201,1374,300,534,626,1063,1409,1611,1912,1957,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002dc_0,2129,1247,238,554,881,1382,1793,2186,2548,2816,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002df_0,2337,1848,691,1001,1116,1466,1668,1805,2018,1970,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f0_0,2125,1596,839,1160,1442,1703,1714,1855,1884,1961,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fe_0,1965,1297,338,571,711,1043,1597,1769,2204,2042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000301_0,2235,1333,270,553,598,1227,2054,2307,2602,2741,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030d_0,917,482,1,210,295,536,879,1041,1390,1396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000312_0,2260,2215,752,979,1062,1083,1123,1147,1212,1130,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000338_0,2598,1441,318,617,662,1221,2276,2664,2956,3125,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000035a_0,3137,1708,527,830,816,1507,2810,3265,3562,3690,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000035e_0,2780,2482,1044,1298,1400,1598,1600,1694,1698,1816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000367_0,2358,1329,292,564,610,1103,1801,2114,2402,2522,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000036f_0,3403,1806,502,847,818,1593,2762,3142,3606,3722,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000373_0,2967,2522,991,1296,1492,1636,1743,1861,1938,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037b_0,2989,2143,797,1086,1168,1489,1816,2000,2204,2293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000037c_0,2783,1681,78,398,667,1041,1451,1710,2114,2277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000380_0,4152,3110,1544,2004,2432,2531,2584,2641,3074,2808,"{""type"":""MultiPoint"",""coordinates"":[]}"
