ECO_ID,ECO_NAME,BIOME_NUM,,reason
0,Rock and Ice,,,No/negligible vegetation
836,Red Sea coastal desert,,,No/negligible vegetation
809,Arabian desert,,,No/negligible vegetation
810,Arabian sand desert,,,No/negligible vegetation
811,Arabian-Persian Gulf coastal plain desert,,,No/negligible vegetation
831,North Arabian desert,,,No/negligible vegetation
822,East Sahara Desert,,,No/negligible vegetation
845,West Sahara desert,,,No/negligible vegetation
844,Tibesti-Jebel Uweinat montane xeric woodlands,,,No/negligible vegetation
103,Namib Desert,,,No/negligible vegetation
598,Atacama desert,,,No/negligible vegetation
817,Central Asian northern desert,,,No/negligible vegetation
819,Central Asian southern desert,,,No/negligible vegetation
843,Taklimakan desert,,,No/negligible vegetation
417,Kalaallit Nunaat Arctic steppe,,,No/negligible vegetation
418,Kalaallit Nunaat High Arctic tundra,,,No/negligible vegetation
778,Russian Arctic desert,,,No/negligible vegetation
777,Novosibirsk Islands Arctic desert,,,No/negligible vegetation
67,Amsterdam-Saint Paul Islands temperate grasslands,,,Error loading Sentinel-2 data in GEE
626,Ogasawara subtropical moist forests,,,Error loading Sentinel-2 data in GEE
