Trait,,laie,laie,laie,laie,laie,laie,laie,laie,fapar,fapar,fapar,fapar,fapar,fapar,fapar,fcover,fcover,fcover,fcover,fcover,fcover,fcover
Metric,,N,MAE,R2,R2_Global,RMSE,NRMSE,ME,UAR,MAE,R2,R2_Global,RMSE,NRMSE,ME,UAR,MAE,R2,R2_Global,RMSE,NRMSE,ME,UAR
Model,Group,,,,,,,,,,,,,,,,,,,,,,
specker,ALL,11038,0.43,0.77,,0.60,0.45,0.07,0.90,0.10,0.78,,0.15,0.33,0.02,0.70,0.10,0.79,,0.15,0.36,0.01,0.68
specker,cultivatedCrops,498,0.27,0.43,0.78,0.50,0.99,0.14,0.94,0.08,0.78,0.87,0.13,0.53,-0.01,0.76,0.08,0.74,0.85,0.13,0.66,0.01,0.74
specker,deciduousForest,3010,0.52,0.72,0.82,0.69,0.30,-0.20,0.87,0.11,0.66,0.80,0.15,0.23,-0.03,0.74,0.12,0.68,0.81,0.15,0.24,-0.05,0.70
specker,evergreenForest,3286,0.55,0.47,0.47,0.69,0.50,0.22,0.85,0.14,0.48,0.50,0.19,0.37,0.05,0.53,0.14,0.51,0.52,0.18,0.40,0.04,0.53
specker,grasslandHerbaceous,1685,0.30,0.40,0.82,0.45,0.97,0.22,0.95,0.08,0.76,0.86,0.12,0.50,0.02,0.73,0.08,0.78,0.88,0.11,0.56,0.04,0.74
specker,mixedForest,501,0.43,0.68,0.82,0.56,0.25,-0.23,0.92,0.07,0.77,0.89,0.10,0.15,0.00,0.86,0.08,0.78,0.87,0.11,0.18,-0.01,0.79
specker,pastureHay,519,0.39,0.24,0.66,0.50,0.72,0.30,0.96,0.10,0.68,0.71,0.14,0.36,-0.00,0.64,0.12,0.66,0.68,0.15,0.44,0.00,0.58
specker,shrubScrub,1293,0.14,0.79,0.94,0.31,1.26,0.08,0.96,0.04,0.79,0.95,0.09,0.92,0.03,0.90,0.04,0.84,0.96,0.08,0.89,0.02,0.91
specker,wetlands,246,0.59,0.58,0.63,0.74,0.42,0.21,0.84,0.13,0.66,0.72,0.16,0.28,0.05,0.59,0.13,0.70,0.74,0.16,0.30,0.03,0.58
sl2p,ALL,11038,0.53,0.68,,0.70,0.53,0.30,0.85,0.14,0.69,,0.18,0.39,-0.04,0.56,0.12,0.74,,0.16,0.40,0.00,0.57
sl2p,cultivatedCrops,498,0.49,-0.46,0.44,0.80,1.60,0.44,0.86,0.09,0.76,0.86,0.13,0.56,0.04,0.70,0.09,0.64,0.80,0.15,0.77,0.07,0.69
sl2p,deciduousForest,3010,0.50,0.74,0.84,0.66,0.28,0.07,0.89,0.15,0.48,0.69,0.19,0.28,-0.11,0.59,0.12,0.67,0.80,0.16,0.25,-0.05,0.65
sl2p,evergreenForest,3286,0.65,0.32,0.32,0.78,0.57,0.40,0.78,0.18,0.30,0.33,0.21,0.43,-0.08,0.39,0.16,0.40,0.41,0.20,0.44,-0.02,0.38
sl2p,grasslandHerbaceous,1685,0.53,-0.67,0.49,0.75,1.62,0.50,0.85,0.10,0.68,0.82,0.14,0.57,0.05,0.60,0.11,0.59,0.78,0.15,0.76,0.09,0.54
sl2p,mixedForest,501,0.42,0.72,0.85,0.52,0.23,0.01,0.95,0.14,0.31,0.66,0.17,0.26,-0.12,0.56,0.10,0.70,0.82,0.12,0.21,-0.04,0.74
sl2p,pastureHay,519,0.72,-0.99,0.11,0.82,1.17,0.70,0.80,0.11,0.67,0.70,0.14,0.37,0.04,0.54,0.14,0.58,0.61,0.17,0.49,0.08,0.42
sl2p,shrubScrub,1293,0.23,0.61,0.89,0.43,1.74,0.21,0.93,0.07,0.74,0.94,0.10,1.02,0.06,0.81,0.06,0.74,0.93,0.10,1.15,0.05,0.83
sl2p,wetlands,246,0.67,0.49,0.55,0.81,0.46,0.43,0.76,0.14,0.62,0.68,0.17,0.30,-0.04,0.49,0.13,0.67,0.72,0.17,0.32,0.02,0.57
