Trait,,fapar,fapar,fapar,fapar,fapar,fapar,fapar,fapar
Metric,,N,MAE,R2,R2_Global,RMSE,NRMSE,ME,UAR
Model,Group,,,,,,,,
specker,ALL,11038,0.10,0.78,,0.15,0.33,0.02,0.70
specker,cultivatedCrops,498,0.08,0.78,0.87,0.13,0.53,-0.01,0.76
specker,deciduousForest,3010,0.11,0.66,0.80,0.15,0.23,-0.03,0.74
specker,evergreenForest,3286,0.14,0.48,0.50,0.19,0.37,0.05,0.53
specker,grasslandHerbaceous,1685,0.08,0.76,0.86,0.12,0.50,0.02,0.73
specker,mixedForest,501,0.07,0.77,0.89,0.10,0.15,0.00,0.86
specker,pastureHay,519,0.10,0.68,0.71,0.14,0.36,-0.00,0.64
specker,shrubScrub,1293,0.04,0.79,0.95,0.09,0.92,0.03,0.90
specker,wetlands,246,0.13,0.66,0.72,0.16,0.28,0.05,0.59
sl2p,ALL,11038,0.14,0.69,,0.18,0.39,-0.04,0.56
sl2p,cultivatedCrops,498,0.09,0.76,0.86,0.13,0.56,0.04,0.70
sl2p,deciduousForest,3010,0.15,0.48,0.69,0.19,0.28,-0.11,0.59
sl2p,evergreenForest,3286,0.18,0.30,0.33,0.21,0.43,-0.08,0.39
sl2p,grasslandHerbaceous,1685,0.10,0.68,0.82,0.14,0.57,0.05,0.60
sl2p,mixedForest,501,0.14,0.31,0.66,0.17,0.26,-0.12,0.56
sl2p,pastureHay,519,0.11,0.67,0.70,0.14,0.37,0.04,0.54
sl2p,shrubScrub,1293,0.07,0.74,0.94,0.10,1.02,0.06,0.81
sl2p,wetlands,246,0.14,0.62,0.68,0.17,0.30,-0.04,0.49
grounded,ALL,11038,0.10,0.79,,0.15,0.32,0.02,0.72
grounded,cultivatedCrops,498,0.09,0.73,0.84,0.14,0.60,0.01,0.72
grounded,deciduousForest,3010,0.11,0.62,0.78,0.16,0.24,-0.01,0.74
grounded,evergreenForest,3286,0.13,0.56,0.57,0.17,0.34,0.04,0.59
grounded,grasslandHerbaceous,1685,0.07,0.77,0.87,0.12,0.49,0.01,0.77
grounded,mixedForest,501,0.07,0.75,0.88,0.10,0.16,0.02,0.89
grounded,pastureHay,519,0.10,0.70,0.72,0.13,0.35,0.00,0.66
grounded,shrubScrub,1293,0.04,0.82,0.96,0.08,0.85,0.02,0.90
grounded,wetlands,246,0.12,0.65,0.71,0.17,0.29,0.06,0.61
